source_name,unit,start_date,end_date,value
Watch,count/min,2023-12-07 07:31:16 -0700,2023-12-07 07:31:16 -0700,18.5
Watch,count/min,2023-12-07 07:39:46 -0700,2023-12-07 07:39:46 -0700,16.5
Watch,count/min,2023-12-07 07:53:16 -0700,2023-12-07 07:53:16 -0700,20
Watch,count/min,2023-12-07 08:02:16 -0700,2023-12-07 08:02:16 -0700,19
Watch,count/min,2023-12-07 08:08:16 -0700,2023-12-07 08:08:16 -0700,16
Watch,count/min,2023-12-07 08:24:17 -0700,2023-12-07 08:24:17 -0700,17.5
Watch,count/min,2023-12-07 08:34:47 -0700,2023-12-07 08:34:47 -0700,18.5
Watch,count/min,2023-12-07 08:42:17 -0700,2023-12-07 08:42:17 -0700,18
Watch,count/min,2023-12-07 08:51:17 -0700,2023-12-07 08:51:17 -0700,18.5
Watch,count/min,2023-06-02 00:18:06 -0700,2023-06-02 00:18:06 -0700,20.5
Watch,count/min,2023-06-05 01:36:01 -0700,2023-06-05 01:36:01 -0700,20
Watch,count/min,2023-06-05 01:51:01 -0700,2023-06-05 01:51:01 -0700,16
Watch,count/min,2023-06-05 02:03:32 -0700,2023-06-05 02:03:32 -0700,16.5
Watch,count/min,2023-06-05 02:07:02 -0700,2023-06-05 02:07:02 -0700,17
Watch,count/min,2023-06-05 02:23:32 -0700,2023-06-05 02:23:32 -0700,16
Watch,count/min,2023-06-05 02:25:02 -0700,2023-06-05 02:25:02 -0700,15.5
Watch,count/min,2023-06-05 02:38:02 -0700,2023-06-05 02:38:02 -0700,15.5
Watch,count/min,2023-06-05 02:52:32 -0700,2023-06-05 02:52:32 -0700,17.5
Watch,count/min,2023-06-05 03:03:03 -0700,2023-06-05 03:03:03 -0700,18.5
Watch,count/min,2023-06-05 03:05:03 -0700,2023-06-05 03:05:03 -0700,17
Watch,count/min,2023-06-05 03:14:33 -0700,2023-06-05 03:14:33 -0700,18
Watch,count/min,2023-06-05 03:33:03 -0700,2023-06-05 03:33:03 -0700,13
Watch,count/min,2023-06-05 03:41:33 -0700,2023-06-05 03:41:33 -0700,13
Watch,count/min,2023-06-05 03:51:34 -0700,2023-06-05 03:51:34 -0700,16.5
Watch,count/min,2023-06-05 04:01:34 -0700,2023-06-05 04:01:34 -0700,15.5
Watch,count/min,2023-06-05 04:06:04 -0700,2023-06-05 04:06:04 -0700,16
Watch,count/min,2023-06-05 04:15:04 -0700,2023-06-05 04:15:04 -0700,16.5
Watch,count/min,2023-06-05 04:33:04 -0700,2023-06-05 04:33:04 -0700,16.5
Watch,count/min,2023-06-05 04:40:34 -0700,2023-06-05 04:40:34 -0700,17
Watch,count/min,2023-06-05 04:45:04 -0700,2023-06-05 04:45:04 -0700,17
Watch,count/min,2023-06-05 04:54:05 -0700,2023-06-05 04:54:05 -0700,16
Watch,count/min,2023-06-05 05:10:05 -0700,2023-06-05 05:10:05 -0700,15
Watch,count/min,2023-06-05 05:16:35 -0700,2023-06-05 05:16:35 -0700,17.5
Watch,count/min,2023-06-05 05:25:05 -0700,2023-06-05 05:25:05 -0700,18
Watch,count/min,2023-06-05 05:43:05 -0700,2023-06-05 05:43:05 -0700,17
Watch,count/min,2023-06-05 05:45:05 -0700,2023-06-05 05:45:05 -0700,17.5
Watch,count/min,2023-06-17 21:28:06 -0700,2023-06-17 21:28:06 -0700,27.5
Watch,count/min,2023-06-20 06:01:29 -0700,2023-06-20 06:01:29 -0700,34.5
Watch,count/min,2023-06-25 22:09:06 -0700,2023-06-25 22:09:06 -0700,24
Watch,count/min,2023-06-25 22:13:36 -0700,2023-06-25 22:13:36 -0700,22.5
Watch,count/min,2023-06-25 22:23:36 -0700,2023-06-25 22:23:36 -0700,24
Watch,count/min,2023-06-25 22:35:06 -0700,2023-06-25 22:35:06 -0700,25.5
Watch,count/min,2023-06-25 22:41:06 -0700,2023-06-25 22:41:06 -0700,26
Watch,count/min,2023-07-05 22:11:06 -0700,2023-07-05 22:11:06 -0700,19
Watch,count/min,2023-07-05 22:16:06 -0700,2023-07-05 22:16:06 -0700,17.5
Watch,count/min,2023-07-05 22:27:06 -0700,2023-07-05 22:27:06 -0700,18.5
Watch,count/min,2023-07-05 22:43:07 -0700,2023-07-05 22:43:07 -0700,17.5
Watch,count/min,2023-07-05 22:47:07 -0700,2023-07-05 22:47:07 -0700,18
Watch,count/min,2023-07-05 23:03:07 -0700,2023-07-05 23:03:07 -0700,18
Watch,count/min,2023-07-05 23:07:07 -0700,2023-07-05 23:07:07 -0700,19.5
Watch,count/min,2023-07-05 23:18:07 -0700,2023-07-05 23:18:07 -0700,19.5
Watch,count/min,2023-07-05 23:29:38 -0700,2023-07-05 23:29:38 -0700,19
Watch,count/min,2023-07-05 23:41:08 -0700,2023-07-05 23:41:08 -0700,18
Watch,count/min,2023-07-05 23:54:38 -0700,2023-07-05 23:54:38 -0700,18.5
Watch,count/min,2023-07-06 00:04:38 -0700,2023-07-06 00:04:38 -0700,19
Watch,count/min,2023-07-06 00:08:38 -0700,2023-07-06 00:08:38 -0700,21
Watch,count/min,2023-07-06 00:19:39 -0700,2023-07-06 00:19:39 -0700,21.5
Watch,count/min,2023-07-06 00:31:09 -0700,2023-07-06 00:31:09 -0700,22
Watch,count/min,2023-07-06 00:43:39 -0700,2023-07-06 00:43:39 -0700,22.5
Watch,count/min,2023-07-06 00:48:09 -0700,2023-07-06 00:48:09 -0700,22.5
Watch,count/min,2023-07-06 01:00:39 -0700,2023-07-06 01:00:39 -0700,18
Watch,count/min,2023-07-06 01:13:39 -0700,2023-07-06 01:13:39 -0700,19
Watch,count/min,2023-07-06 01:24:09 -0700,2023-07-06 01:24:09 -0700,18.5
Watch,count/min,2023-07-06 01:28:09 -0700,2023-07-06 01:28:09 -0700,18
Watch,count/min,2023-07-06 01:39:39 -0700,2023-07-06 01:39:39 -0700,19
Watch,count/min,2023-07-06 01:53:10 -0700,2023-07-06 01:53:10 -0700,19
Watch,count/min,2023-07-06 01:58:10 -0700,2023-07-06 01:58:10 -0700,19
Watch,count/min,2023-07-06 02:10:10 -0700,2023-07-06 02:10:10 -0700,18.5
Watch,count/min,2023-07-06 02:19:10 -0700,2023-07-06 02:19:10 -0700,19
Watch,count/min,2023-07-06 02:33:10 -0700,2023-07-06 02:33:10 -0700,17.5
Watch,count/min,2023-07-06 02:40:40 -0700,2023-07-06 02:40:40 -0700,17.5
Watch,count/min,2023-07-06 02:52:40 -0700,2023-07-06 02:52:40 -0700,17.5
Watch,count/min,2023-07-06 02:57:40 -0700,2023-07-06 02:57:40 -0700,17.5
Watch,count/min,2023-07-06 03:22:40 -0700,2023-07-06 03:22:40 -0700,17
Watch,count/min,2023-08-14 23:28:36 -0700,2023-08-14 23:28:36 -0700,24
Watch,count/min,2023-08-31 00:42:09 -0700,2023-08-31 00:42:09 -0700,22
Watch,count/min,2023-10-11 22:11:36 -0700,2023-10-11 22:11:36 -0700,24
Watch,count/min,2023-11-18 02:54:07 -0700,2023-11-18 02:54:07 -0700,17
Watch,count/min,2023-11-18 03:02:07 -0700,2023-11-18 03:02:07 -0700,16.5
Watch,count/min,2023-11-18 03:08:37 -0700,2023-11-18 03:08:37 -0700,16
Watch,count/min,2023-11-18 03:17:37 -0700,2023-11-18 03:17:37 -0700,16.5
Watch,count/min,2023-11-18 03:27:07 -0700,2023-11-18 03:27:07 -0700,17
Watch,count/min,2023-11-18 03:36:37 -0700,2023-11-18 03:36:37 -0700,17
Watch,count/min,2023-11-18 03:46:07 -0700,2023-11-18 03:46:07 -0700,16.5
Watch,count/min,2023-11-18 03:57:07 -0700,2023-11-18 03:57:07 -0700,17
Watch,count/min,2023-11-18 04:09:07 -0700,2023-11-18 04:09:07 -0700,17.5
Watch,count/min,2023-11-18 04:19:07 -0700,2023-11-18 04:19:07 -0700,17.5
Watch,count/min,2023-11-18 04:30:07 -0700,2023-11-18 04:30:07 -0700,17.5
Watch,count/min,2023-11-18 04:40:07 -0700,2023-11-18 04:40:07 -0700,18.5
Watch,count/min,2023-11-18 04:53:37 -0700,2023-11-18 04:53:37 -0700,17
Watch,count/min,2023-11-18 04:59:07 -0700,2023-11-18 04:59:07 -0700,17.5
Watch,count/min,2023-11-18 05:09:07 -0700,2023-11-18 05:09:07 -0700,18
Watch,count/min,2023-11-18 05:19:37 -0700,2023-11-18 05:19:37 -0700,19.5
Watch,count/min,2023-11-18 05:33:37 -0700,2023-11-18 05:33:37 -0700,17
Watch,count/min,2023-11-18 05:37:07 -0700,2023-11-18 05:37:07 -0700,18
Watch,count/min,2023-11-18 05:46:07 -0700,2023-11-18 05:46:07 -0700,17.5
Watch,count/min,2023-11-18 05:59:37 -0700,2023-11-18 05:59:37 -0700,17.5
Watch,count/min,2023-11-18 06:07:07 -0700,2023-11-18 06:07:07 -0700,17.5
Watch,count/min,2023-11-18 06:24:37 -0700,2023-11-18 06:24:37 -0700,16.5
Watch,count/min,2023-11-18 06:28:07 -0700,2023-11-18 06:28:07 -0700,17
Watch,count/min,2023-11-18 06:39:37 -0700,2023-11-18 06:39:37 -0700,18
Watch,count/min,2023-11-18 06:52:37 -0700,2023-11-18 06:52:37 -0700,16.5
Watch,count/min,2023-11-18 06:57:37 -0700,2023-11-18 06:57:37 -0700,18.5
Watch,count/min,2023-11-18 07:11:37 -0700,2023-11-18 07:11:37 -0700,19
Watch,count/min,2023-11-18 07:18:07 -0700,2023-11-18 07:18:07 -0700,18.5
Watch,count/min,2023-11-18 07:32:37 -0700,2023-11-18 07:32:37 -0700,17.5
Watch,count/min,2023-11-18 07:39:37 -0700,2023-11-18 07:39:37 -0700,16.5
Watch,count/min,2023-11-18 07:50:07 -0700,2023-11-18 07:50:07 -0700,16.5
Watch,count/min,2023-11-18 07:58:37 -0700,2023-11-18 07:58:37 -0700,17.5
Watch,count/min,2023-11-18 08:08:08 -0700,2023-11-18 08:08:08 -0700,16.5
Watch,count/min,2023-11-18 08:19:38 -0700,2023-11-18 08:19:38 -0700,18
Watch,count/min,2023-11-18 08:25:38 -0700,2023-11-18 08:25:38 -0700,21
Watch,count/min,2023-11-18 08:44:38 -0700,2023-11-18 08:44:38 -0700,16.5
Watch,count/min,2023-11-18 08:45:38 -0700,2023-11-18 08:45:38 -0700,16.5
Watch,count/min,2023-11-18 09:03:08 -0700,2023-11-18 09:03:08 -0700,16.5
Watch,count/min,2023-11-18 09:06:08 -0700,2023-11-18 09:06:08 -0700,16.5
Watch,count/min,2023-11-18 09:16:08 -0700,2023-11-18 09:16:08 -0700,18
Watch,count/min,2023-11-18 09:28:08 -0700,2023-11-18 09:28:08 -0700,16
Watch,count/min,2023-11-18 09:36:08 -0700,2023-11-18 09:36:08 -0700,17.5
Watch,count/min,2023-11-18 09:50:08 -0700,2023-11-18 09:50:08 -0700,22.5
Watch,count/min,2023-11-18 10:01:38 -0700,2023-11-18 10:01:38 -0700,17.5
Watch,count/min,2023-11-18 10:08:38 -0700,2023-11-18 10:08:38 -0700,16.5
Watch,count/min,2023-11-18 10:15:38 -0700,2023-11-18 10:15:38 -0700,18.5
Watch,count/min,2023-11-18 10:29:38 -0700,2023-11-18 10:29:38 -0700,17.5
